Sunt 158 participanti cu 2812 submisii, din care 87 au corect.
Name,Submissions,Success,Hours Spent
achirialex,124,True,22.796944444444442
BogdanCheles,118,False,15.952222222222222
Raresvis,106,True,16.795277777777777
razvan3895,94,True,22.762777777777778
Marius.P,71,False,11.151944444444444
devLucian93,67,False,11.251666666666667
rvintila,65,True,16.034166666666668
Andlol,63,True,25.553055555555556
alexandru.elisei,59,True,16.40138888888889
CatalinOlaru,53,True,8.3675
liviudan,51,True,10.451111111111112
filip.munteanu,50,True,6.618055555555555
ShardamaKa,50,True,14.384444444444446
cristian.cazan,50,True,10.950833333333332
noname23,44,False,14.578333333333335
dorinel.filip,43,True,5.5680555555555555
MrWhite,43,True,8.151111111111112
radutoma,41,True,20.31833333333333
theo.stoican,41,True,16.351666666666667
patrusorin,39,True,9.500555555555556
monicalegenda,39,True,7.767777777777778
george.ioana1995,38,False,15.934722222222224
TwistedFaith,38,True,9.268888888888888
mihaitza22,37,False,7.884166666666667
relu.dragan,36,True,10.06111111111111
GeorgianaElena,35,True,10.483611111111111
raduneagoe,31,False,12.467777777777778
remus.ionita,31,False,10.250555555555556
adriana.ene,30,False,9.184722222222224
Raz_Van_Barbascu,29,False,4.144166666666667
RoxanaCpt,28,False,9.544722222222221
Mikkenn,27,True,6.366944444444444
perjulucian,27,False,5.4175
paula.sima,25,False,7.768055555555555
rrprom13,23,True,7.610833333333333
info_maniac,23,True,6.766944444444444
andy94,23,False,7.734166666666667
silvia_the_best,22,True,6.6177777777777775
marinutza,22,True,5.6002777777777775
alexandru.cosmina,22,True,5.151111111111111
cajum,22,False,8.434166666666666
RaduDo,21,True,7.937222222222222
lavinia.tache,21,False,5.460555555555556
denisa.sandu,20,True,5.550555555555556
Sergiu121,20,False,8.0175
diana_ion,19,True,6.083333333333333
tudor_emil.coman,19,True,7.817777777777778
oana_alexandra.orjanu,18,False,8.276944444444444
mircea_marian.popa,18,True,7.051111111111111
maxu08,18,False,6.317222222222223
petru_ch94,17,False,6.117222222222223
theory1,17,True,3.817222222222222
alexdinu712,17,True,4.750555555555556
NadoluBogdan,16,False,7.916944444444444
ard_procesoare,16,True,2.166944444444445
tudoras8,16,False,4.950277777777777
cosmincav,15,True,6.567222222222223
gabi.cristache,15,True,7.633888888888889
edigiorgi,15,True,6.284166666666667
alin_ionut.cojocaru,14,False,7.511388888888889
bogdanstefan,14,True,5.58388888888889
D4n13L,14,True,2.383888888888889
alexandru.ghergut,14,True,10.466666666666667
gabriel93,14,True,6.950555555555556
MIonut,13,True,6.400277777777777
SebiSebi,13,True,3.216666666666667
deeagrt,12,False,4.266666666666667
Wyvern,12,False,3.8169444444444447
teo721,12,True,5.493888888888889
Sergiududa,12,False,4.6274999999999995
andreeadima,12,True,3.5166666666666666
SergiuV,12,True,6.966944444444445
Aleks10,12,True,4.016944444444444
adrypunctro,11,False,1.6669444444444443
irinapatularu,11,True,6.610555555555555
dlemon,11,True,2.477222222222222
dumytru,11,True,3.933333333333333
cernat.catallin,10,True,2.383611111111111
Mmihai,10,False,2.8669444444444445
Kazemo,10,False,4.083611111111112
mihaiii,10,True,3.783888888888889
ana_mirela,10,False,4.400277777777777
Marian_25,10,True,6.33388888888889
valentin_rad,9,False,5.193888888888889
Cosmin_Dragos,9,False,1.7002777777777778
mihneadb,9,True,2.9105555555555553
JulotM,8,False,2.2836111111111115
denis.tudor,8,False,3.316666666666667
Trixer,8,True,3.600277777777778
cfandrei,8,False,4.116944444444445
ada_s,8,True,3.1836111111111114
matein,8,True,5.166944444444444
constantinsegarceanu,8,True,4.000277777777778
McVx,8,True,2.6333333333333333
alexmorega,8,True,2.000277777777778
RobertB,8,True,4.726944444444444
codrut_grosu,7,False,3.183333333333333
madalina.balaceanu,7,False,3.3672222222222223
miruna.barbu,7,False,2.166944444444445
tinamanea,7,False,2.666944444444445
alexandru.vlad1208,6,False,3.593611111111111
alexandru.jercaianu,6,True,4.066944444444444
alin.damain,6,False,4.183611111111111
Metalbrain,6,False,2.6269444444444447
CapitanulCeapaRoz,6,False,2.810277777777778
Tokumei_no_Kage,6,False,3.2169444444444446
codra27,6,False,1.5
Alexxino7,5,True,2.5
maria_anca.balutoiu,5,False,1.3333333333333333
DD1994,5,False,2.35
sorinos1357,5,True,2.450277777777778
miahi,5,True,3.383611111111111
itma96,5,False,1.843611111111111
Renata,5,True,3.3666666666666667
horia.zegheru,5,True,1.9002777777777777
andi.georgescu,5,False,3.05
alex_ovidiunitu,4,True,2.4833333333333334
Simona_Roboiu,4,False,1.9336111111111112
dinuand,4,True,2.633888888888889
LauraA,4,False,2.5833333333333335
FiliutaMarius,4,True,2.6166666666666667
Razzinnator,4,True,2.883611111111111
allexx2200,4,False,2.750277777777778
Tzappy90,4,True,3.033333333333333
roots4,4,False,1.1333333333333333
Deei,4,False,2.183333333333333
cati200896,4,False,3.400277777777778
stefanf7,4,False,2.233888888888889
andreipurdila,4,True,2.633611111111111
raztechs,3,True,2.05
Patrunjel,3,False,1.0666666666666667
alex95pan,3,False,1.3836111111111111
vlad.cruceru,3,True,1.2166666666666666
scipianus,3,True,1.0333333333333334
palcuiealex,3,True,2.066666666666667
RobertS,3,False,1.3169444444444445
Mao_Zedong,3,True,1.1666666666666667
cristian.panaitescu,2,False,1.1666666666666667
Iustin_Bulimar,2,True,1.05
damageshot,2,False,1.0666666666666667
vld7,2,True,2.0
carmenrazvi,2,False,1.0
andrei1235,2,False,1.0166666666666666
roxanamacarie,2,False,1.2833333333333334
CostinV,2,True,2.0
dan.ghita,2,True,1.0333333333333334
alex.bullz,2,True,1.5333333333333334
vlad.florescu94,2,True,1.35
Eduard334,1,False,1.0
sergiu_turlea,1,False,1.0
robertbindar,1,False,1.0
cristighr,1,False,1.0
liviu_e_gras,1,False,1.0
catalinagherasim1,1,True,1.0
florin.nastase,1,True,1.0
crushack,1,False,1.0
stefyvolt,1,False,1.0
ene.cornelia,1,True,1.0
Average number of submissions: 11.354430379746836
Total number of hours: 853.5725
Total number of hours if he succeeded: 534.5538888888887
Average number of hours: 5.402357594936709
Average number of hours if he succeeded: 3.3832524613220802
